	mean_abundance
Rothia_mucilaginosa	0.08182495857302667
Prevotella_melaninogenica	0.062125441219598954
Porphyromonas_catoniae	0.047847983918091905
Actinomyces_odontolyticus	0.046908092587986436
Fusobacterium_periodonticum	0.04327058957382964
Haemophilus_parainfluenzae	0.040770270643885845
Lautropia_mirabilis	0.0340879060701773
Veillonella_dispar	0.027608388688406364
Neisseria_flavescens	0.02499186628062219
Fusobacterium_nucleatum	0.022026390765381435
Megasphaera_micronuciformis	0.021436394880776737
Streptococcus_sanguinis	0.020655995378127987
Prevotella_pallens	0.020611231621665303
Prevotella_histicola	0.01854738346169985
Rothia_aeria	0.015889335027465666
Aggregatibacter_segnis	0.015483204540283286
Alloprevotella_rava	0.015381615977568302
Prevotella_intermedia	0.014464946559098555
Porphyromonas_gingivalis	0.01295773569172021
Parvimonas_micra	0.012532208370181517
